canonical_composer;canonical_title;split;year;midi_filename;audio_filename;duration
Alexander Scriabin;"Fantasy; Op. 28";train;2014;2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.midi;2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.wav;486.857.152.031
Alexander Scriabin;"Fragilite; Op.51";validation;2009;2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.midi;2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.wav;138.421.335.938
Alexander Scriabin;"Prelude and Nocturne for Left Hand; Op. 9";train;2008;2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.midi;2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.wav;463.605.305.625
Alexander Scriabin;Sonata No. 2;train;2006;2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_02_Track02_wav.midi;2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_02_Track02_wav.wav;613.737.367.031
Alexander Scriabin;"Sonata No. 2 in G-sharp Minor; Op. 19";train;2018;2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--4.midi;2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--4.wav;701.147.803.125
Alexander Scriabin;"Sonata No. 2 in G-sharp Minor; Op. 19";train;2018;2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--2.midi;2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--2.wav;685.005.992.344
Alexander Scriabin;"Sonata No. 2 in G-sharp Minor; Op. 19 (Complete)";train;2017;2017/MIDI-Unprocessed_079_PIANO079_MID--AUDIO-split_07-09-17_Piano-e_1-04_wav--4.midi;2017/MIDI-Unprocessed_079_PIANO079_MID--AUDIO-split_07-09-17_Piano-e_1-04_wav--4.wav;661.909.149.792
Alexander Scriabin;"Sonata No. 3 in F-sharp Minor; Op. 23";train;2018;2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.midi;2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.wav;112.009.102.734
Alexander Scriabin;"Sonata No. 3 in F-sharp Minor; Op. 23";train;2018;2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--2.midi;2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--2.wav;119.501.082.422
Alexander Scriabin;"Sonata No. 3 in F-sharp Minor; Op. 23";train;2018;2018/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018_wav--2.midi;2018/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018_wav--2.wav;111.795.828.375
Alexander Scriabin;"Sonata No. 4 in F-sharp Major ;Op.30";validation;2013;2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.midi;2013/ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_03_R1_2013_wav--4.wav;440.110.403.906
Alexander Scriabin;"Sonata No. 5 in F-sharp Minor; Op. 53";train;2004;2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.midi;2004/MIDI-Unprocessed_SMF_07_R1_2004_01_ORIG_MID--AUDIO_07_R1_2004_12_Track12_wav.wav;659.835.660.317
Alexander Scriabin;"Sonata No. 5; Op. 53";train;2018;2018/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--2.midi;2018/MIDI-Unprocessed_Recital12_MID--AUDIO_12_R1_2018_wav--2.wav;701.488.347.656
Alexander Scriabin;"Sonata No. 5; Op. 53";train;2009;2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_04_WAV.midi;2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_04_WAV.wav;706.203.887.813
Alexander Scriabin;"Sonata No. 5; Op. 53";train;2009;2009/MIDI-Unprocessed_19_R1_2009_03-04_ORIG_MID--AUDIO_19_R1_2009_19_R1_2009_04_WAV.midi;2009/MIDI-Unprocessed_19_R1_2009_03-04_ORIG_MID--AUDIO_19_R1_2009_19_R1_2009_04_WAV.wav;648.955.013.438
Alexander Scriabin;"Sonata No. 5; Op. 53";train;2008;2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--4.midi;2008/MIDI-Unprocessed_07_R1_2008_01-04_ORIG_MID--AUDIO_07_R1_2008_wav--4.wav;601.648.703.906
Alexander Scriabin;"Sonata No. 5; Op. 53";train;2014;2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--6.midi;2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_21_R1_2014_wav--6.wav;707.903.939.531
Alexander Scriabin;"Sonata No. 5; Op. 53";train;2014;2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_22_R1_2014_wav--4.midi;2014/MIDI-UNPROCESSED_21-22_R1_2014_MID--AUDIO_22_R1_2014_wav--4.wav;644.840.434.219
Alexander Scriabin;Sonata No. 9;test;2006;2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_04_Track04_wav.midi;2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_04_Track04_wav.wav;476.652.835.312
Alexander Scriabin;Sonata No. 9;test;2006;2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_03_Track03_wav.midi;2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_03_Track03_wav.wav;426.268.270.313
Alexander Scriabin;"Sonata No. 9; Op. 68";test;2009;2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_08_WAV.midi;2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_08_WAV.wav;520.139.704.219
Alexander Scriabin;"Sonata No. 9; Op. 68; ""Black Mass""";test;2018;2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.midi;2018/MIDI-Unprocessed_Recital13-15_MID--AUDIO_15_R1_2018_wav--1.wav;520.215.825.937
Alexander Scriabin;"Two Impromptus; Op. 14 (Complete)";validation;2014;2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--3.midi;2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--3.wav;365.655.350.156
Alexander Scriabin;"Waltz; Op. 38";validation;2014;2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--4.midi;2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--4.wav;319.910.203.594
Antonio Soler;Sonata No. 10 in B Minor;train;2009;2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_01_WAV.midi;2009/MIDI-Unprocessed_09_R1_2009_01-04_ORIG_MID--AUDIO_09_R1_2009_09_R1_2009_01_WAV.wav;232.765.525.781
Carl Maria von Weber;"Sonata No. 1; 2nd; 3rd and 4th movements";train;2008;2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--3.midi;2008/MIDI-Unprocessed_02_R3_2008_01-03_ORIG_MID--AUDIO_02_R3_2008_wav--3.wav;93.913.367.625
Charles Gounod / Franz Liszt;Faust Waltz;train;2006;2006/MIDI-Unprocessed_08_R1_2006_01-04_ORIG_MID--AUDIO_08_R1_2006_Disk1_01_Track01_wav.midi;2006/MIDI-Unprocessed_08_R1_2006_01-04_ORIG_MID--AUDIO_08_R1_2006_Disk1_01_Track01_wav.wav;557.392.605
Claude Debussy;"""Feux d'artifice"" from Book II";train;2008;2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.midi;2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--4.wav;242.752.161.094
Claude Debussy;"""Images""; Series I";train;2013;2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_18_R3_2013_wav--2.midi;2013/ORIG-MIDI_03_7_10_13_Group_MID--AUDIO_18_R3_2013_wav--2.wav;918.021.250.781
Claude Debussy;"""Les collines d'Anacapri"" from Preludes; Book I";train;2008;2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.midi;2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--3.wav;16.649.556
Claude Debussy;"""Ondine"" from Book II";train;2008;2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--3.midi;2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--3.wav;19.330.108.875
Claude Debussy;"""Voiles"" from Preludes; Book I";train;2008;2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--4.midi;2008/MIDI-Unprocessed_07_R3_2008_01-05_ORIG_MID--AUDIO_07_R3_2008_wav--4.wav;212.295.460.781
Claude Debussy;"Barcarolle; Op. 60";train;2015;2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--3.midi;2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--3.wav;482.755.208.333
Claude Debussy;Bruyeres;train;2006;2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_03_Track03_wav.midi;2006/MIDI-Unprocessed_01_R1_2006_01-09_ORIG_MID--AUDIO_01_R1_2006_03_Track03_wav.wav;984.527.594.531
Claude Debussy;Estampes (Complete);test;2014;2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4.midi;2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_09_R1_2014_wav--4.wav;849.030.935.156
Claude Debussy;"Etude ""Pour le arpeges composes""";train;2009;2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_02_WAV.midi;2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_02_WAV.wav;274.671.199.688
Claude Debussy;"Etude ""Pour les accords""";test;2009;2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_04_WAV.midi;2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_04_WAV.wav;270.703.522.031
Claude Debussy;"Etude ""Pour les huit doigts""";train;2009;2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_03_WAV.midi;2009/MIDI-Unprocessed_11_R1_2009_01-05_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_03_WAV.wav;909.961.696.875
Claude Debussy;"Etude No. 6; Book I; ""Pour les huits doigts""";train;2008;2008/MIDI-Unprocessed_11_R2_2008_01-05_ORIG_MID--AUDIO_11_R2_2008_wav--2.midi;2008/MIDI-Unprocessed_11_R2_2008_01-05_ORIG_MID--AUDIO_11_R2_2008_wav--2.wav;793.348.565.625
Claude Debussy;"Etude No. 7 ""Study in Chromatic Steps""";test;2004;2004/MIDI-Unprocessed_SMF_17_R1_2004_03-06_ORIG_MID--AUDIO_20_R2_2004_12_Track12_wav--1.midi;2004/MIDI-Unprocessed_SMF_17_R1_2004_03-06_ORIG_MID--AUDIO_20_R2_2004_12_Track12_wav--1.wav;134.376.478.304
Claude Debussy;Feux d'artifice;train;2006;2006/MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_02_Track02_wav.midi;2006/MIDI-Unprocessed_18_R1_2006_01-05_ORIG_MID--AUDIO_18_R1_2006_02_Track02_wav.wav;242.578.550.156
Claude Debussy;Four Preludes;train;2006;2006/MIDI-Unprocessed_14_R1_2006_01-05_ORIG_MID--AUDIO_14_R1_2006_03_Track03_wav.midi;2006/MIDI-Unprocessed_14_R1_2006_01-05_ORIG_MID--AUDIO_14_R1_2006_03_Track03_wav.wav;672.901.303.594
Claude Debussy;Image (Book II);train;2004;2004/MIDI-Unprocessed_XP_08_R1_2004_03_ORIG_MID--AUDIO_08_R1_2004_03_Track03_wav.midi;2004/MIDI-Unprocessed_XP_08_R1_2004_03_ORIG_MID--AUDIO_08_R1_2004_03_Track03_wav.wav;701.103.700.969
Claude Debussy;"Images Book 1 (Complete); L 110";train;2014;2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--4.midi;2014/MIDI-UNPROCESSED_09-10_R1_2014_MID--AUDIO_10_R1_2014_wav--4.wav;903.260.314.687
Claude Debussy;Images Book II;train;2006;2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_02_Track02_wav.midi;2006/MIDI-Unprocessed_24_R1_2006_01-05_ORIG_MID--AUDIO_24_R1_2006_02_Track02_wav.wav;679.697.504.063
Claude Debussy;"Images; Book I";train;2009;2009/MIDI-Unprocessed_15_R1_2009_03-06_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_03_WAV.midi;2009/MIDI-Unprocessed_15_R1_2009_03-06_ORIG_MID--AUDIO_15_R1_2009_15_R1_2009_03_WAV.wav;924.171.084.375
Claude Debussy;"Images; Book I; ""Reflets dans l'eau""";train;2008;2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--4.midi;2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--4.wav;281.579.579.531
Claude Debussy;"Images; Book II";train;2018;2018/MIDI-Unprocessed_Recital20_MID--AUDIO_20_R1_2018_wav--3.midi;2018/MIDI-Unprocessed_Recital20_MID--AUDIO_20_R1_2018_wav--3.wav;845.710.959.844
Claude Debussy;"Images; Book II; ""Poissons d'or""";train;2008;2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--5.midi;2008/MIDI-Unprocessed_06_R2_2008_01-05_ORIG_MID--AUDIO_06_R2_2008_wav--5.wav;2.199.784.125
Claude Debussy;Jardins sous la pluie from Estampes;test;2011;2011/MIDI-Unprocessed_04_R3_2011_MID--AUDIO_R3-D2_05_Track05_wav.midi;2011/MIDI-Unprocessed_04_R3_2011_MID--AUDIO_R3-D2_05_Track05_wav.wav;207.262.079.062
Claude Debussy;L'Isle Joyeuse;train;2011;2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_10_Track10_wav.midi;2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_10_Track10_wav.wav;329.560.300.781
Claude Debussy;L'isle joyeuse;train;2014;2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--6.midi;2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--6.wav;363.915.234.375
Claude Debussy;L'isle joyeuse;train;2013;2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_15_R1_2013_wav--4.midi;2013/ORIG-MIDI_02_7_7_13_Group__MID--AUDIO_15_R1_2013_wav--4.wav;298.988.750.156
Claude Debussy;L'isle joyeuse;train;2013;2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--3.midi;2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_12_R3_2013_wav--3.wav;350.077.107.188
Claude Debussy;L'isle joyeuse;train;2017;2017/MIDI-Unprocessed_071_PIANO071_MID--AUDIO-split_07-08-17_Piano-e_1-04_wav--4.midi;2017/MIDI-Unprocessed_071_PIANO071_MID--AUDIO-split_07-08-17_Piano-e_1-04_wav--4.wav;346.025.013.871
Claude Debussy;"L'isle joyeuse; L. 106";train;2018;2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018_wav--4.midi;2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_02_R1_2018_wav--4.wav;349.685.814.844
Claude Debussy;Les Collines d'Anacapri from Book I;train;2008;2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--2.midi;2008/MIDI-Unprocessed_10_R3_2008_01-05_ORIG_MID--AUDIO_10_R3_2008_wav--2.wav;17.646.349.875
Claude Debussy;Pagodas from Estampes No. 1;test;2008;2008/MIDI-Unprocessed_05_R1_2008_01-04_ORIG_MID--AUDIO_05_R1_2008_wav--3.midi;2008/MIDI-Unprocessed_05_R1_2008_01-04_ORIG_MID--AUDIO_05_R1_2008_wav--3.wav;345.819.632.813
Claude Debussy;Pour le piano (Complete);test;2015;2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3.midi;2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3.wav;738.958.333.333
Claude Debussy;"Prelude No. 24 ""Fireworks""";train;2008;2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--1.midi;2008/MIDI-Unprocessed_04_R2_2008_01-04_ORIG_MID--AUDIO_04_R2_2008_wav--1.wav;318.511.967.813
Claude Debussy;"Prelude No. 6; Book I; ""Des pas sur la neige""";test;2018;2018/MIDI-Unprocessed_Recital16_MID--AUDIO_16_R1_2018_wav--3.midi;2018/MIDI-Unprocessed_Recital16_MID--AUDIO_16_R1_2018_wav--3.wav;247.761.504.375
Claude Debussy;"Prelude No. 7; Book II; La terrasse des audiences du clair de lune";train;2018;2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--3.midi;2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--3.wav;297.192.544.688
Claude Debussy;"Preludes Book II: “Feux d'artifice;” L 123; No. 12";train;2014;2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--5.midi;2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_07_R1_2014_wav--5.wav;257.919.079.688
Claude Debussy;"Preludes No. 2; 6; 12";train;2004;2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_08_Track08_wav.midi;2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_08_Track08_wav.wav;338.261.822.638
Claude Debussy;"Preludes No. 2; 6; 12";train;2004;2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_09_Track09_wav.midi;2004/MIDI-Unprocessed_SMF_12_01_2004_01-05_ORIG_MID--AUDIO_12_R1_2004_09_Track09_wav.wav;260.039.831.171
Claude Debussy;"Preludes; Book II; III - La puerta del vino";train;2013;2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--2.midi;2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--2.wav;179.321.401.875
Claude Debussy;"Preludes; Book II; L 123 (Complete)";train;2014;2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_08_R1_2014_wav--2.midi;2014/MIDI-UNPROCESSED_06-08_R1_2014_MID--AUDIO_08_R1_2014_wav--2.wav;24.634.804.425
Claude Debussy;"Preludes; Book II; L 123; IV. «Les fées sont d'exquises danseuses»";train;2015;2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--4.midi;2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--4.wav;173.302.083.333
Claude Debussy;"Preludes; Book II; VII - La terasse des audiences du clair de lune";train;2013;2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--3.midi;2013/ORIG-MIDI_01_7_8_13_Group__MID--AUDIO_02_R2_2013_wav--3.wav;2.403.202.725
Claude Debussy;PreludesBII/7-12;train;2006;2006/MIDI-Unprocessed_04_R1_2006_01-04_ORIG_MID--AUDIO_04_R1_2006_02_Track02_wav.midi;2006/MIDI-Unprocessed_04_R1_2006_01-04_ORIG_MID--AUDIO_04_R1_2006_02_Track02_wav.wav;118.404.261.937
Claude Debussy;SuiteBergamasque;test;2006;2006/MIDI-Unprocessed_03_R1_2006_01-05_ORIG_MID--AUDIO_03_R1_2006_04_Track04_wav.midi;2006/MIDI-Unprocessed_03_R1_2006_01-05_ORIG_MID--AUDIO_03_R1_2006_04_Track04_wav.wav;942.903.704.531
Claude Debussy;Three Etudes;train;2006;2006/MIDI-Unprocessed_05_R1_2006_01-05_ORIG_MID--AUDIO_05_R1_2006_02_Track02_wav.midi;2006/MIDI-Unprocessed_05_R1_2006_01-05_ORIG_MID--AUDIO_05_R1_2006_02_Track02_wav.wav;727.226.836.875
César Franck;Prel./Chor./Fug.;validation;2006;2006/MIDI-Unprocessed_22_R1_2006_01-04_ORIG_MID--AUDIO_22_R1_2006_02_Track02_wav.midi;2006/MIDI-Unprocessed_22_R1_2006_01-04_ORIG_MID--AUDIO_22_R1_2006_02_Track02_wav.wav;1.188.161.205
César Franck;"Prelude; Choral et Fugue";validation;2018;2018/MIDI-Unprocessed_Recital8_MID--AUDIO_08_R1_2018_wav--2.midi;2018/MIDI-Unprocessed_Recital8_MID--AUDIO_08_R1_2018_wav--2.wav;105.457.827.234
César Franck;"Prelude; Choral et Fugue";validation;2018;2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--5.midi;2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_10_R1_2018_wav--5.wav;10.219.006.875
César Franck;"Prelude; Fugue et Variation; Op. 18; Arrangement Delle Vigne";train;2018;2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--2.midi;2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--2.wav;632.269.666.875
César Franck;"Prélude; chorale; et fugue; M. 21";train;2014;2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--3.midi;2014/MIDI-UNPROCESSED_16-18_R1_2014_MID--AUDIO_16_R1_2014_wav--3.wav;706.374.827.813
Domenico Scarlatti;Sonata K. 466;train;2008;2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--3.midi;2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--3.wav;121.187.111.719
Domenico Scarlatti;Sonata K. 525;test;2008;2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--2.midi;2008/MIDI-Unprocessed_09_R3_2008_01-07_ORIG_MID--AUDIO_09_R3_2008_wav--2.wav;659.481.178.125
